top_category_0901,top_category_1101,top_category_1301,top_category_1501
executive_time,meeting,lunch,executive_time
executive_time,meeting,lunch,executive_time
travel,travel,travel,travel
executive_time,meeting,lunch,executive_time
executive_time,meeting,lunch,executive_time
executive_time,executive_time,,meeting
executive_time,meeting,event,meeting
executive_time,executive_time,executive_time,executive_time
executive_time,meeting,lunch,travel
executive_time,event,meeting,meeting
executive_time,event,lunch,meeting
executive_time,travel,travel,travel
executive_time,meeting,lunch,event
executive_time,meeting,lunch,executive_time
executive_time,event,executive_time,executive_time
executive_time,,lunch,meeting
travel,travel,event,travel
executive_time,meeting,lunch,executive_time
executive_time,meeting,lunch,event
executive_time,executive_time,lunch,executive_time
executive_time,meeting,lunch,executive_time
executive_time,meeting,lunch,meeting
executive_time,meeting,lunch,meeting
executive_time,meeting,lunch,executive_time
executive_time,meeting,lunch,executive_time
executive_time,meeting,lunch,executive_time
executive_time,meeting,lunch,meeting
executive_time,meeting,lunch,executive_time
executive_time,meeting,lunch,meeting
executive_time,executive_time,lunch,executive_time
executive_time,executive_time,event,executive_time
executive_time,meeting,lunch,meeting
executive_time,meeting,lunch,event
travel,travel,event,travel
executive_time,meeting,lunch,meeting
executive_time,meeting,lunch,meeting
executive_time,event,lunch,executive_time
executive_time,executive_time,meeting,executive_time
executive_time,executive_time,executive_time,executive_time
executive_time,meeting,lunch,executive_time
executive_time,meeting,lunch,meeting
executive_time,meeting,lunch,executive_time
executive_time,meeting,lunch,event
executive_time,meeting,lunch,executive_time
executive_time,executive_time,lunch,meeting
executive_time,meeting,lunch,executive_time
executive_time,meeting,lunch,meeting
executive_time,meeting,lunch,event
